address1,address2,city,country,createdAt,loc.coordinates,name,priceLevel,reviewStats.community.averageScore,reviewStats.community.count,reviewStats.dave.averageScore,reviewStats.dave.count,reviewStats.dave.totalScore,state,zip,formatted_address,latitude,longitude,string_concat,dave_score_int,review_number
590 E 191st St,,Bronx,US,2018-03-23T17:38:23.940Z,"[-73.88475, 40.85881]",Pugsley's Pizza,1,7.992,25,7.7,1,7.7,NY,10458,"590 E 191st St, The Bronx, NY 10458, USA",40.8587693,-73.8848374,Pugsley's Pizza | Dave - 7.7 | Community - 7.99,77,0
265 Union Ave,,Brooklyn,US,2018-03-23T17:38:25.932Z,"[-73.9507711, 40.7078768]",Williamsburg Pizza,1,7.742307692,26,8.6,1,8.6,NY,11211,"265 Union Ave, Brooklyn, NY 11211, USA",40.7080823,-73.9509034,Williamsburg Pizza | Dave - 8.6 | Community - 7.74,86,1
473 Lexington Ave,,New York,US,2018-03-23T17:38:28.758Z,"[-73.9741563, 40.7537359]",99 Cent Fresh Pizza,1,5.7625,8,4.9,1,4.9,NY,10017,"473 Lexington Ave, New York, NY 10017, USA",40.7536996,-73.9741132,99 Cent Fresh Pizza | Dave - 4.9 | Community - 5.76,49,2
39 W 46th St,,New York,US,2018-03-23T17:38:31.004Z,"[-73.980516, 40.7569159]",Nino's 46,2,0,0,6.9,1,6.9,NY,10036,"39 W 46th St, New York, NY 10036, USA",40.7569012,-73.980518,Nino's 46 | Dave - 6.9 | Community - 0.0,69,3
31 E 20th St,,New York,US,2018-03-23T17:38:35.470Z,"[-73.9888916015625, 40.7390403747559]",La Pizza Fresca Ristorante,2,0,0,7.1,1,7.1,NY,10003,"31 E 20th St, New York, NY 10003, USA",40.739047,-73.988895,La Pizza Fresca Ristorante | Dave - 7.1 | Community - 0.0,71,4
382 8th Ave,,New York,US,2018-03-23T17:38:37.943Z,"[-73.995422, 40.7490441]",La Gusto Pizza,1,4.366666667,3,3.2,1,3.2,NY,10001,,,,La Gusto Pizza | Dave - 3.2 | Community - 4.37,32,5
2640 Broadway,,New York,US,2018-03-23T17:38:40.081Z,"[-73.96948, 40.79716]",Cheesy Pizza,1,6.125,4,6.1,1,6.1,NY,10025,"2640 Broadway, New York, NY 10025, USA",40.7971889,-73.9695729,Cheesy Pizza | Dave - 6.1 | Community - 6.12,61,6
2671 Broadway,,New York,US,2018-03-23T17:38:42.107Z,"[-73.9694405, 40.7983115]",Sal & Carmine's Pizza,1,7.45,16,7.2,1,7.2,NY,10025,"2671 Broadway, New York, NY 10025, USA",40.7983829,-73.969439,Sal & Carmine's Pizza | Dave - 7.2 | Community - 7.45,72,7
2750 Broadway,,New York,US,2018-03-23T17:38:44.491Z,"[-73.96766, 40.80084]",MAMA'S TOO!,2,7.353846154,13,6.8,1,6.8,NY,10025,"2750 Broadway, New York, NY 10025, USA",40.8008324,-73.9675901,MAMA'S TOO! | Dave - 6.8 | Community - 7.35,68,8
221 W 46th St,,New York,US,2018-03-23T17:38:46.897Z,"[-73.9859788257256, 40.7591637016814]",Bond 45,2,6.725,4,6.5,1,6.5,NY,10036,"221 W 46th St, New York, NY 10036, USA",40.7593741,-73.9861745,Bond 45 | Dave - 6.5 | Community - 6.72,65,9
485 High St,,Morgantown,US,2018-03-23T17:38:48.103Z,"[-79.954135492444, 39.6319723874331]",Casa D'amici,1,5.79,10,6.5,1,6.5,WV,26505,"485 High St, Morgantown, WV 26505, USA",39.6319501,-79.9542123,Casa D'amici | Dave - 6.5 | Community - 5.79,65,10
2952 University Ave,,Morgantown,US,2018-03-23T17:38:49.342Z,"[-79.9646175652742, 39.6496903896332]",Pizza Al's,1,5.7,6,6.4,1,6.4,WV,26505,"2952 University Ave, Morgantown, WV 26505, USA",39.6501191,-79.9648861,Pizza Al's | Dave - 6.4 | Community - 5.7,64,11
416 Fairmont Rd,,Morgantown,US,2018-03-23T17:38:50.582Z,"[-79.97122, 39.63422]",Colasante's Ristorante & Pub,2,6.725,4,6.6,1,6.6,WV,26501,"416 Fairmont Rd, Morgantown, WV 26501, USA",39.634409,-79.971237,Colasante's Ristorante & Pub | Dave - 6.6 | Community - 6.72,66,12
57 Pearl St,,DUMBO,US,2018-03-23T17:38:53.421Z,"[-73.9874284, 40.7030253]",Love & Dough,2,7.233333333,3,7.5,1,7.5,NY,11201,"57 Pearl St, Brooklyn, NY 11201, USA",40.7029363,-73.9874841,Love & Dough | Dave - 7.5 | Community - 7.23,75,13
2287 1st Ave,,New York,US,2018-03-23T17:38:55.775Z,"[-73.93481, 40.79713]",Patsy's Pizzeria,2,8.444444444,36,8.6,1,8.6,NY,10035,"2287 1st Avenue, New York, NY 10035, USA",40.7971469,-73.934857,Patsy's Pizzeria | Dave - 8.6 | Community - 8.44,86,14
1300 Crosby Ave,,Bronx,US,2018-03-23T17:38:57.361Z,"[-73.828563, 40.838288]",Louie & Ernie's Pizza,1,8.061538462,26,7.8,1,7.8,NY,10461,"1300 Crosby Ave, The Bronx, NY 10461, USA",40.838259,-73.8286389,Louie & Ernie's Pizza | Dave - 7.8 | Community - 8.06,78,15
70 McLean Ave,,Yonkers,US,2018-03-23T17:38:58.750Z,"[-73.8931803, 40.9184535]",Pizza Barn,2,7.477777778,18,7.2,1,7.2,NY,10705,"70 McLean Ave, Yonkers, NY 10705, USA",40.9187903,-73.8937123,Pizza Barn | Dave - 7.2 | Community - 7.48,72,16
961 Rice St,,Saint Paul,US,2018-03-23T17:39:00.149Z,"[-93.106330871582, 44.9703369140625]",Mama's Pizza,1,8.357142857,7,7.5,1,7.5,MN,55117,"961 Rice St, St Paul, MN 55117, USA",44.9703571,-93.1062382,Mama's Pizza | Dave - 7.5 | Community - 8.36,75,17
118 N 4th St,,Minneapolis,US,2018-03-23T17:39:02.860Z,"[-93.27299, 44.98202]",Dulono's Pizza,2,6.5,5,6.3,1,6.3,MN,55401,"118 N 4th St, Minneapolis, MN 55401, USA",44.9819829,-93.2729943,Dulono's Pizza | Dave - 6.3 | Community - 6.5,63,18
5125 Edina Industrial Blvd,Ste C,Edina,US,2018-03-23T17:39:04.275Z,"[-93.3540421761455, 44.8633957678514]",Cheetah Pizza,1,5,1,3.4,1,3.4,MN,55439,"5125 Edina Industrial Blvd, Minneapolis, MN 55439, USA",44.8633027,-93.3540843,Cheetah Pizza | Dave - 3.4 | Community - 5.0,34,19
5600 Cedar Ave S,,Minneapolis,US,2018-03-23T17:39:05.899Z,"[-93.2477544, 44.9008511]",Fat Lorenzo's,2,6.55,4,4.1,1,4.1,MN,55417,"5600 Cedar Ave S, Minneapolis, MN 55417, USA",44.9007915,-93.2477362,Fat Lorenzo's | Dave - 4.1 | Community - 6.55,41,20
